,From,To,Thickness,Lithology
111,180,200.0,20.0,"sandstone, hard compact,  light pink to dark pink, fine to
medium."
112,0,8.0,8.0,"Top soil, mixed with clay, yellowish black"
113,8,14.0,6.0,"Sand, light yellow, very fine,"
114,14,20.0,6.0,"Sand, light yellow, very fine, with clay intercalations"
115,20,62.0,42.0,"Sand dark brown, medium to coarse, with prominent quartz
grains. with little at various depths clay intercalations"
116,62,67.0,5.0,"Sandy clay dark brown,"
117,67,85.0,18.0,"Sand dark brown, coarse, with prominent quartz grains .with
little  clay intercalations"
118,85,89.0,4.0,"Sand, medium medium to coarse, dark brown."
119,89,94.0,5.0,clay / shale chocolate brown .
120,94,113.0,19.0,"sand, dark brown, fine to coarse"
121,113,115.0,2.0,clay / shale greyish brown .
122,115,120.0,5.0,"Sandstone, light grey, fine grained, mixed with black shale
intercalations."
123,120,144.0,24.0,"Sandstone dark grey, mixed with black shale, with intercalated
ferruginous sandstone."
124,144,159.0,15.0,"Sand, light grey mixed with coarser chips of fine grained black
shale intercalations."
125,159,161.0,2.0,Clay black
126,161,177.0,16.0,clay blackish with Sand light pink to grey
127,177,180.0,3.0,"sand, light grey, fine mixed with shale"
128,180,200.0,20.0,"sandstone, hard compact,  light pink to dark pink, fine to
medium."
129,0,5.65,5.65,"Top Soil:  Gritty; silty, lose material."
130,5.65,8.65,3.0,"Vesicular Basalt, Weathered brownish black."
131,8.65,11.3,2.65,"Basalt, Black, Jointed with chips of quartz."
132,11.3,14.3,3.0,"Basalt, black, medium to coarse with grey bole"
133,14.3,19.95,5.65,Basalt black hard compact
134,19.95,22.6,2.65,Basalt black hard compact with few chips of Secondary Minerals.
135,22.6,28.25,5.65,Basalt black hard vesicular with sparse green earth.
136,28.25,31.25,3.0,Basalt black hard compact
137,31.25,33.9,2.65,Basalt hard jointed with few chips of secondary minerals.
138,33.9,45.2,11.3,Basalt black hard compact.
139,45.2,50.85,5.65,Red bole bed mixed with vesicular basalt.
140,50.85,53.85,3.0,Basalt black hard compact.
141,53.85,56.5,2.65,Red bole bed mixed with vesicular basalt.
142,56.5,59.5,3.0,Basalt black hard compact.
143,59.5,62.15,2.65,"Basalt brownish black mixed with gritty sandstone of brownish
red colour."
144,62.15,65.15,3.0,gritty sandstone blackish brown hard compact.
145,65.15,70.8,5.65,"Gritty sandstone brownish black micaceous mixed with black
shale"
146,70.8,76.45,5.65,Shale black mixed with sandstone blackish brown micaceous.
147,76.45,79.1,2.65,"Shale, blackish brown mixed with greyish brown sandstone
which is micaceous."
148,79.1,84.75,5.65,"Shale, black mixed with dark grey sandstone compact."
149,84.75,93.4,8.65,Shale black medium grained.
150,93.4,96.05,2.65,Shale mixed with dark grey sandstone.
151,96.05,99.05,3.0,"Sandstone dark grey, micaceous with few quartz chips."
152,99.05,118.65,19.6,Sandstone grey medium grained mixed with shale dark brown.
153,118.65,124.3,5.65,Shale brownish red mixed with gray sandstone.
154,124.3,138.6,14.3,Sandstone dark grey medium to coarse.
155,138.6,141.25,2.65,Sandstone dark grey gritty mixed with shale.
156,141.25,144.25,3.0,"gritty sandstone, dark brownish grey, hard"
157,0,2.0,2.0,Top Soil mixed with sand and clay
158,2,4.0,2.0,"Sandstone,   medium grained, yellowish brown"
159,4,16.0,12.0,"Sandstone, coarse grained, yellowish brown"
160,16,25.0,9.0,"Sandstone, medium to coarse"
161,25,28.0,3.0,"Sandstone, coarse grained, yellowish brown"
162,28,40.5,12.5,"Sandstone, medium pale yellow"
163,40.5,46.0,5.5,"Sandstone,   medium to course, brown."
164,46,47.0,1.0,Clay yellowish in color
165,47,55.0,8.0,"sandstone, fine pale yellow."
166,55,57.0,2.0,"Sandstone, coarse grained, yellowish brown"
167,57,59.0,2.0,sandstone with metallic outgrowth
168,59,62.0,3.0,"sandstone, fine pale yellow."
169,62,64.0,2.0,"Sandstone, medium, Pale yellow."
170,64,67.0,3.0,sandstone course grained pale yellow.
171,67,71.0,4.0,"Sandstone, fine, Pale yellow."
172,71,78.0,7.0,"Sandstone, medium grained, Chocolate brown."
173,78,84.0,6.0,Sandstone fine
174,84,89.0,5.0,Sticky clay mixed with sand.
175,89,95.0,6.0,"Sandstone, medium, pinkish grey."
176,95,98.0,3.0,Sandstone fine to medium
177,98,100.0,2.0,Sticky clay mixed with sand.
178,100,104.7,4.7,"Sandstone, medium, ill sorted."
179,104.7,105.7,1.0,clay
180,105.7,113.0,7.3,Gritty sandstone medium grained
181,113,114.0,1.0,clay
182,114,122.0,8.0,Sandstone  medium to course
183,122,128.0,6.0,Sandstone fine to medium
184,128,150.0,22.0,sandstone medium .
185,150,152.0,2.0,clay dark brown
186,152,179.0,27.0,"Sandstone whitish grey, with clay intercalations"
187,179,185.0,6.0,"sandstone  medium, grey."
188,185,189.0,4.0,Sandstone fine .
189,189,191.0,2.0,sandstone medium .
190,191,192.0,1.0,"Clay, Chocolate brown."
191,192,200.0,8.0,"sandstone  medium, grey."
192,0,3.0,3.0,Top soil: Grey; silty; loamy; loose calcareous material (kankar)
193,3,19.95,16.95,"Alluvium mixed with predominant argillaceous and calcareous
material."
194,19.95,28.25,8.3,"Alluvium with few chips of basalt, medium chips, hard compact"
195,28.25,33.9,5.65,"Basalt , black hard compact mixed with secondary minerals,
medium grained"
196,33.9,62.15,28.25,"Clay, red, fine"
197,62.15,65.15,3.0,"Sand, light brown medium to coarse grained"
198,65.15,67.8,2.65,Sandstone mixed with shale blakish brown
199,67.8,70.8,3.0,"Sandstone  blakish brown, medium grained"
200,70.8,76.45,5.65,"Sand fine to medium, blakish brown"
201,76.45,79.1,2.65,"Sandstone with shale, yellow"
202,79.1,84.75,5.65,"sand, fine to medium grained"
203,84.75,93.4,8.65,"Sand, light brown, medium mixed with shale yellow"
204,93.4,99.05,5.65,"Sandstone medium grained mixed with shale, brownish red."
205,99.05,101.7,2.65,"Shale, brownish red"
206,101.7,110.35,8.65,Sandstone whitish brownish medium grained
207,110.35,144.25,33.9,"Sandstone light yellow, medium grained"
208,144.25,155.55,11.3,Sandstone medium grained mixed carbonaceous shale
209,155.55,158.2,2.65,"Sandstone, light yellow, fine grained"
210,158.2,161.2,3.0,Sandstone medium to coarse grained mixed with carbonaceous shale
211,161.2,166.85,5.65,"Sandstone fine to medium mixed with shale, yellow"
212,166.85,169.5,2.65,"Sand, light yellow very fine"
213,169.5,172.5,3.0,Shale mixed with sand fine to medium
214,172.5,180.8,8.3,"Sandstone light yellow, medium grained  mixed with shale"
215,180.8,183.8,3.0,Shale very fine yellow
216,183.8,186.45,2.65,"Sandstone, fine to medium grained mixed with shale."
217,186.45,189.45,3.0,"Sandstone, fine to medium grained mixed with shale argillaceous"
218,189.45,192.0,2.55,Shale argillaceous yellow
219,192,197.1,5.1,Sandstone medium mixed with shale
